B1,B2,B3,B4,B5,B6,B7,B8,B9,RP
-77,-74,-82,-80,-76,-74,-63,-82,-75,P_7_3
-76,-74,-84,-78,-76,-80,-67,-73,-76,P_7_3
-76,-86,-76,-76,-77,-69,-62,-74,-78,P_7_3
-75,-79,-82,-77,-74,-70,-61,-70,-74,P_7_3
-80,-78,-82,-77,-73,-70,-60,-71,-72,P_7_3
-79,-79,-77,-83,-74,-71,-62,-79,-74,P_7_3
-79,-81,-84,-79,-73,-72,-73,-68,-75,P_7_3
-63,-74,-67,-76,-78,-78,-80,-76,-84,P_1_3
-62,-70,-66,-73,-84,-75,-84,-78,-79,P_1_3
-63,-72,-73,-74,-83,-80,-84,-78,-80,P_1_3
-63,-73,-75,-75,-84,-80,-86,-75,-81,P_1_3
-63,-76,-74,-75,-83,-80,-82,-79,-80,P_1_3
-63,-76,-76,-74,-82,-81,-82,-78,-80,P_1_3
-63,-77,-75,-74,-87,-81,-84,-74,-81,P_1_3
-63,-78,-74,-76,-84,-81,-82,-76,-80,P_1_3
-63,-77,-74,-76,-83,-81,-82,-76,-80,P_1_3
-68,-78,-75,-76,-85,-80,-83,-74,-80,P_1_3
-63,-78,-74,-76,-84,-80,-84,-75,-80,P_1_3
-64,-78,-72,-76,-85,-79,-84,-74,-80,P_1_3
-63,-77,-69,-76,-85,-79,-80,-72,-80,P_1_3
-64,-80,-70,-76,-84,-78,-80,-72,-80,P_1_3
-66,-82,-70,-78,-87,-77,-84,-74,-83,P_1_3
-66,-80,-68,-78,-87,-76,-83,-73,-82,P_1_3
-64,-83,-67,-80,-86,-77,-82,-71,-82,P_1_3
-65,-81,-68,-77,-87,-77,-85,-71,-82,P_1_3
-66,-80,-67,-76,-86,-78,-83,-75,-82,P_1_3
-66,-79,-68,-82,-86,-77,-83,-73,-83,P_1_3
-64,-80,-69,-77,-86,-78,-84,-73,-82,P_1_3
-66,-82,-68,-77,-88,-78,-83,-72,-84,P_1_3
-66,-84,-67,-77,-85,-78,-82,-73,-83,P_1_3
-66,-82,-68,-77,-86,-78,-82,-73,-84,P_1_3
-66,-82,-67,-77,-85,-78,-82,-72,-86,P_1_3
-66,-79,-67,-76,-86,-79,-82,-76,-84,P_1_3
-67,-77,-67,-76,-86,-79,-83,-76,-84,P_1_3
-67,-77,-67,-76,-87,-78,-81,-74,-83,P_1_3
-66,-83,-67,-77,-85,-78,-80,-72,-83,P_1_3
